waypoint1	waypoint2	distance_m	duration_s
Yosemite National Park, CA	Grand Canyon National Park, AZ	936309	33491
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Zion National Park, Washington County, UT	2441384	78805
10 Witherell Street, Detroit, MI	Big Sur, Monterey County, CA	4061401	130471
The Queen Mary, Queens Highway, Long Beach, CA	Grand Canyon National Park, AZ	803697	26402
Bonneville Salt Flats, Tooele County, UT	Beacon Hill Park, Victoria, BC, Canada	1594047	60351
Grand Teton National Park, Teton County, WY	Cherry Creek State Park, South Parker Road, Aurora, CO	798033	28624
Mount Whitney, Inyo County, CA	University of California, Santa Cruz, High Street, Santa Cruz, CA	682197	24410
113 Mill Creek Road, South Chatham, MA	Mount Whitney, Inyo County, CA	4864653	158998
Millennium Park Path, Grand Rapids, MI	Beacon Hill Park, Victoria, BC, Canada	3892740	132305
Apache Cafe, 3rd Street Northwest, Atlanta, GA	Cherokee Park, Cochran Hill Road, Louisville, KY	673573	22603
2131 West Cortez Street, Chicago, IL	Bonneville Salt Flats, Tooele County, UT	2442989	78558
Trancas Crossing Park, Trancas Street, Napa, CA	Cheatham Wildlife Management Area, Ashland City, TN	3721824	119726
Atalaya Mountain, Santa Fe, NM	Apache Cafe, 3rd Street Northwest, Atlanta, GA	2227063	72190
Millennium Park Path, Grand Rapids, MI	University of North Carolina at Chapel Hill, Chapel Hill, NC	1253794	43932
The Queen Mary, Queens Highway, Long Beach, CA	Indian Island, Eureka, CA	1079600	38439
Red Rocks Park, Central Avenue, South Burlington, VT	University of California, Santa Cruz, High Street, Santa Cruz, CA	4953623	164018
The Queen Mary, Queens Highway, Long Beach, CA	Red Rocks Park, Central Avenue, South Burlington, VT	4691929	154850
4919 Cave Run Drive, Houston, TX	Cherokee Park, Cochran Hill Road, Louisville, KY	1566337	52995
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Indian Island, Eureka, CA	4992747	164590
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Millennium Park Path, Grand Rapids, MI	3088498	98158
Grand Teton National Park, Teton County, WY	Boulder Mountain Park, Boulder, CO	780599	28112
Beacon Hill Park, Victoria, BC, Canada	University of California, Santa Cruz, High Street, Santa Cruz, CA	1527280	60258
The Queen Mary, Queens Highway, Long Beach, CA	Atalaya Mountain, Santa Fe, NM	1390323	44864
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	2485753	81867
Lake Superior Brewing Co, West Superior Street, Duluth, MN	10 Witherell Street, Detroit, MI	1209858	40170
