waypoint1	waypoint2	distance_m	duration_s
Grand Teton National Park, Teton County, WY	Golden Gate Park, San Francisco, CA	1487727	50536
University of California, Santa Cruz, High Street, Santa Cruz, CA	N Dean St & E Texas St, Marfa, TX 79843	2151458	69415
The Queen Mary, Queens Highway, Long Beach, CA	De las Flores, San Quintin, Mexico	495045	22362
Powell Slough Waterfowl Management Area, Orem, UT	Lake Tahoe State Park, Nevada 28, Incline Village, NV	951158	30542
Cheatham Wildlife Management Area, Ashland City, TN	Big Sur, Monterey County, CA	3567288	118146
Millennium Park Path, Grand Rapids, MI	Red Rocks Park, Central Avenue, South Burlington, VT	1276095	43042
Trancas Crossing Park, Trancas Street, Napa, CA	Apache Cafe, 3rd Street Northwest, Atlanta, GA	4018420	128942
Trancas Crossing Park, Trancas Street, Napa, CA	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	4480079	144017
2131 West Cortez Street, Chicago, IL	Zion National Park, Washington County, UT	2580860	84338
10 Witherell Street, Detroit, MI	Lake Tahoe State Park, Nevada 28, Incline Village, NV	3563327	113336
Yosemite National Park, CA	University of California, Santa Cruz, High Street, Santa Cruz, CA	300685	13114
10 Witherell Street, Detroit, MI	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	3814918	121922
Red Rocks Park, Central Avenue, South Burlington, VT	Discovery Park, Discovery Park Boulevard, Seattle, WA	4788612	159364
Big Sur, Monterey County, CA	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	688753	26525
10 Witherell Street, Detroit, MI	Beacon Hill Park, Victoria, BC, Canada	4065813	137788
10 Witherell Street, Detroit, MI	Congress Street, Portland, ME	1294902	44069
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Golden Gate Park, San Francisco, CA	3273933	109335
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Cherokee Marsh State Fishery Area, Madison, WI	1431527	48502
Big Bend National Park, TX	Red Rocks Park, Central Avenue, South Burlington, VT	3643948	125196
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	University of North Carolina at Chapel Hill, Chapel Hill, NC	436054	15399
Big Bend National Park, TX	Bonneville Salt Flats, Tooele County, UT	2113251	73321
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Lake Tahoe State Park, Nevada 28, Incline Village, NV	4497066	144692
Cherokee Marsh State Fishery Area, Madison, WI	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1400445	45642
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Cherokee Marsh State Fishery Area, Madison, WI	1634858	55071
Cheatham Wildlife Management Area, Ashland City, TN	Burnside Bridge, Portland, OR	3780123	124294
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Discovery Park, Discovery Park Boulevard, Seattle, WA	4747302	155083
Indian Island, Eureka, CA	Golden Gate Park, San Francisco, CA	437548	17167
Cheatham Wildlife Management Area, Ashland City, TN	Congress Street, Portland, ME	1986417	66650
De las Flores, San Quintin, Mexico	Zion National Park, Washington County, UT	1095448	41882
Big Bend National Park, TX	University of California, Santa Cruz, High Street, Santa Cruz, CA	2370158	79529
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Yosemite National Park, CA	530479	18620
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Cherokee Marsh State Fishery Area, Madison, WI	3350790	107770
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Discovery Park, Discovery Park Boulevard, Seattle, WA	3422063	116437
Trancas Crossing Park, Trancas Street, Napa, CA	113 Mill Creek Road, South Chatham, MA	5069218	163591
Cherokee Park, Cochran Hill Road, Louisville, KY	Golden Gate Park, San Francisco, CA	3736588	120582
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	4534005	148280
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Bonneville Salt Flats, Tooele County, UT	2256068	77765
Catskill Mountains, Shandaken, NY	Grand Canyon National Park, AZ	3895278	128657
Cheatham Wildlife Management Area, Ashland City, TN	Powell Slough Waterfowl Management Area, Orem, UT	2630676	85768
Mount Whitney, Inyo County, CA	Zion National Park, Washington County, UT	631871	23646
Big Bend National Park, TX	Apache Cafe, 3rd Street Northwest, Atlanta, GA	2179532	71908
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Grand Canyon National Park, AZ	925051	30720
Grand Teton National Park, Teton County, WY	University of California, Santa Cruz, High Street, Santa Cruz, CA	1577714	53375
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	University of North Carolina at Chapel Hill, Chapel Hill, NC	3720431	119747
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	4919 Cave Run Drive, Houston, TX	2110164	68333
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Atalaya Mountain, Santa Fe, NM	1042072	33674
Burnside Bridge, Portland, OR	Yosemite National Park, CA	1156401	40854
Apache Cafe, 3rd Street Northwest, Atlanta, GA	Discovery Park, Discovery Park Boulevard, Seattle, WA	4255513	138298
Cherokee Marsh State Fishery Area, Madison, WI	Indian Island, Eureka, CA	3594880	119082
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	3345566	106377
Millennium Park Path, Grand Rapids, MI	Burnside Bridge, Portland, OR	3671819	119350
Big Sur, Monterey County, CA	Golden Gate Park, San Francisco, CA	241921	9883
Big Bend National Park, TX	Cherokee Marsh State Fishery Area, Madison, WI	2442364	80742
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	4919 Cave Run Drive, Houston, TX	3059165	102417
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	1974037	61555
Cherokee Marsh State Fishery Area, Madison, WI	Discovery Park, Discovery Park Boulevard, Seattle, WA	3095617	99256
Trancas Crossing Park, Trancas Street, Napa, CA	Red Rocks Park, Central Avenue, South Burlington, VT	4817879	159089
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	3960039	128421
Mount Whitney, Inyo County, CA	N Dean St & E Texas St, Marfa, TX 79843	1841759	59612
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	1940265	64957
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	113 Mill Creek Road, South Chatham, MA	633790	22759
Apache Cafe, 3rd Street Northwest, Atlanta, GA	Yosemite National Park, CA	3700479	119723
Zion National Park, Washington County, UT	Boulder Mountain Park, Boulder, CO	1060909	39333
Cherry Creek State Park, South Parker Road, Aurora, CO	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	1863346	63660
Indian Island, Eureka, CA	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	1672236	56910
Indian Island, Eureka, CA	Red Rocks Park, Central Avenue, South Burlington, VT	5058001	170495
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	N Dean St & E Texas St, Marfa, TX 79843	3555925	116512
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Big Sur, Monterey County, CA	3470690	115887
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Cherry Creek State Park, South Parker Road, Aurora, CO	1721219	53978
Mount Whitney, Inyo County, CA	Yosemite National Park, CA	234014	9137
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	University of North Carolina at Chapel Hill, Chapel Hill, NC	306904	12159
Congress Street, Portland, ME	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	4829333	157126
Apache Cafe, 3rd Street Northwest, Atlanta, GA	N Dean St & E Texas St, Marfa, TX 79843	2097782	66699
113 Mill Creek Road, South Chatham, MA	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	738107	26701
Atalaya Mountain, Santa Fe, NM	De las Flores, San Quintin, Mexico	1642362	60040
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Mount Whitney, Inyo County, CA	350999	14081
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	10 Witherell Street, Detroit, MI	3261571	103641
Cherry Creek State Park, South Parker Road, Aurora, CO	Zion National Park, Washington County, UT	1058344	38991
Powell Slough Waterfowl Management Area, Orem, UT	Zion National Park, Washington County, UT	433405	13887
Cherokee Marsh State Fishery Area, Madison, WI	University of North Carolina at Chapel Hill, Chapel Hill, NC	1500229	51552
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	622047	20451
Cheatham Wildlife Management Area, Ashland City, TN	De las Flores, San Quintin, Mexico	3539561	116526
113 Mill Creek Road, South Chatham, MA	Cherokee Park, Cochran Hill Road, Louisville, KY	1628888	56360
Grand Teton National Park, Teton County, WY	Big Bend National Park, TX	2161688	76199
Atalaya Mountain, Santa Fe, NM	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	2828521	91154
Grand Teton National Park, Teton County, WY	113 Mill Creek Road, South Chatham, MA	3867551	127437
Congress Street, Portland, ME	Yosemite National Park, CA	4850787	158829
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	The Queen Mary, Queens Highway, Long Beach, CA	455745	15413
2131 West Cortez Street, Chicago, IL	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	1474975	49654
Big Bend National Park, TX	113 Mill Creek Road, South Chatham, MA	3852441	128634
Catskill Mountains, Shandaken, NY	Yosemite National Park, CA	4405928	145748
Lake Superior Brewing Co, West Superior Street, Duluth, MN	University of North Carolina at Chapel Hill, Chapel Hill, NC	2008968	68007
2131 West Cortez Street, Chicago, IL	Mount Whitney, Inyo County, CA	3186390	104427
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Millennium Park Path, Grand Rapids, MI	2144804	69989
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Grand Canyon National Park, AZ	455447	15212
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	University of North Carolina at Chapel Hill, Chapel Hill, NC	2191754	71928
Beacon Hill Park, Victoria, BC, Canada	Golden Gate Park, San Francisco, CA	1437293	57419
The Queen Mary, Queens Highway, Long Beach, CA	4919 Cave Run Drive, Houston, TX	2498563	78410
Trancas Crossing Park, Trancas Street, Napa, CA	Powell Slough Waterfowl Management Area, Orem, UT	1206715	38854
113 Mill Creek Road, South Chatham, MA	Millennium Park Path, Grand Rapids, MI	1475592	49608
Powell Slough Waterfowl Management Area, Orem, UT	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	3385581	109919
Bonneville Salt Flats, Tooele County, UT	University of California, Santa Cruz, High Street, Santa Cruz, CA	1100702	36255
The Queen Mary, Queens Highway, Long Beach, CA	Cherry Creek State Park, South Parker Road, Aurora, CO	1741992	59342
Atalaya Mountain, Santa Fe, NM	Cherokee Park, Cochran Hill Road, Louisville, KY	2085577	67137
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Lake Tahoe State Park, Nevada 28, Incline Village, NV	4224520	135525
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Grand Teton National Park, Teton County, WY	3550959	117030
113 Mill Creek Road, South Chatham, MA	Lake Tahoe State Park, Nevada 28, Incline Village, NV	4813658	155099
Powell Slough Waterfowl Management Area, Orem, UT	Burnside Bridge, Portland, OR	1293013	42467
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Big Bend National Park, TX	705653	25494
De las Flores, San Quintin, Mexico	Millennium Park Path, Grand Rapids, MI	3912261	128975
De las Flores, San Quintin, Mexico	University of California, Santa Cruz, High Street, Santa Cruz, CA	1061864	41281
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Discovery Park, Discovery Park Boulevard, Seattle, WA	2191359	73548
Atalaya Mountain, Santa Fe, NM	Cherokee Marsh State Fishery Area, Madison, WI	2038479	69203
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Powell Slough Waterfowl Management Area, Orem, UT	1189323	38009
Millennium Park Path, Grand Rapids, MI	Big Sur, Monterey County, CA	3888328	124988
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Big Bend National Park, TX	1720438	58610
113 Mill Creek Road, South Chatham, MA	University of California, Santa Cruz, High Street, Santa Cruz, CA	5204962	168521
Burnside Bridge, Portland, OR	Grand Canyon National Park, AZ	1839030	61805
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Big Bend National Park, TX	1977016	66319
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	2561365	84098
University of North Carolina at Chapel Hill, Chapel Hill, NC	Discovery Park, Discovery Park Boulevard, Seattle, WA	4588729	149940
Burnside Bridge, Portland, OR	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	4523243	147603
2131 West Cortez Street, Chicago, IL	Beacon Hill Park, Victoria, BC, Canada	3604877	123339
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Boulder Mountain Park, Boulder, CO	1865912	64002
Cheatham Wildlife Management Area, Ashland City, TN	Golden Gate Park, San Francisco, CA	3692046	119195
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	Grand Canyon National Park, AZ	3617128	117818
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	4919 Cave Run Drive, Houston, TX	1936904	64286
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Cherokee Park, Cochran Hill Road, Louisville, KY	1232529	41197
Big Sur, Monterey County, CA	Boulder Mountain Park, Boulder, CO	2222524	73103
Cherry Creek State Park, South Parker Road, Aurora, CO	Catskill Mountains, Shandaken, NY	2894962	94456
113 Mill Creek Road, South Chatham, MA	Beacon Hill Park, Victoria, BC, Canada	5316144	179551
Zion National Park, Washington County, UT	N Dean St & E Texas St, Marfa, TX 79843	1502810	50531
Trancas Crossing Park, Trancas Street, Napa, CA	Boulder Mountain Park, Boulder, CO	1979653	64316
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	3776008	120471
Trancas Crossing Park, Trancas Street, Napa, CA	Big Bend National Park, TX	2471014	82045
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Congress Street, Portland, ME	2497907	82802
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	1799004	60008
Atalaya Mountain, Santa Fe, NM	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	611833	19818
Cherokee Marsh State Fishery Area, Madison, WI	Cherokee Park, Cochran Hill Road, Louisville, KY	723790	24742
Big Bend National Park, TX	Catskill Mountains, Shandaken, NY	3453774	117457
Zion National Park, Washington County, UT	Yosemite National Park, CA	787085	27886
Cheatham Wildlife Management Area, Ashland City, TN	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	939139	32364
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	3666928	118136
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	4919 Cave Run Drive, Houston, TX	305331	11819
Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	N Dean St & E Texas St, Marfa, TX 79843	1417747	44511
Cheatham Wildlife Management Area, Ashland City, TN	Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	1830229	61448
Cherokee Park, Cochran Hill Road, Louisville, KY	Grand Canyon National Park, AZ	2721761	86859
Beacon Hill Park, Victoria, BC, Canada	Catskill Mountains, Shandaken, NY	4909003	167339
Burnside Bridge, Portland, OR	Congress Street, Portland, ME	5132941	167465
Cherokee Marsh State Fishery Area, Madison, WI	Burnside Bridge, Portland, OR	3200250	102613
Red Rocks Park, Central Avenue, South Burlington, VT	Golden Gate Park, San Francisco, CA	4863636	161180
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Bonneville Salt Flats, Tooele County, UT	3532113	113555
Trancas Crossing Park, Trancas Street, Napa, CA	Millennium Park Path, Grand Rapids, MI	3645814	116345
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Cherokee Park, Cochran Hill Road, Louisville, KY	1709410	56435
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Golden Gate Park, San Francisco, CA	1253010	41808
Congress Street, Portland, ME	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	806581	28280
Bonneville Salt Flats, Tooele County, UT	Golden Gate Park, San Francisco, CA	1023464	33621
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Bonneville Salt Flats, Tooele County, UT	3804660	122721
De las Flores, San Quintin, Mexico	Beacon Hill Park, Victoria, BC, Canada	2469013	95145
Grand Teton National Park, Teton County, WY	Cherokee Marsh State Fishery Area, Madison, WI	2050690	67197
Cherry Creek State Park, South Parker Road, Aurora, CO	University of North Carolina at Chapel Hill, Chapel Hill, NC	2641464	84905
2131 West Cortez Street, Chicago, IL	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	659716	22790
De las Flores, San Quintin, Mexico	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	4437615	144706
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	University of California, Santa Cruz, High Street, Santa Cruz, CA	4632982	149528
Catskill Mountains, Shandaken, NY	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	503411	18539
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Yosemite National Park, CA	3092002	103274
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Mount Whitney, Inyo County, CA	4077054	131759
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	De las Flores, San Quintin, Mexico	5019073	165814
University of North Carolina at Chapel Hill, Chapel Hill, NC	Congress Street, Portland, ME	1306297	45396
Big Bend National Park, TX	Cherokee Park, Cochran Hill Road, Louisville, KY	2262664	75472
Cherry Creek State Park, South Parker Road, Aurora, CO	Powell Slough Waterfowl Management Area, Orem, UT	885555	30140
Powell Slough Waterfowl Management Area, Orem, UT	Big Sur, Monterey County, CA	1449586	47642
Millennium Park Path, Grand Rapids, MI	Yosemite National Park, CA	3389664	110713
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Beacon Hill Park, Victoria, BC, Canada	5023496	170769
Atalaya Mountain, Santa Fe, NM	N Dean St & E Texas St, Marfa, TX 79843	750558	26041
Grand Teton National Park, Teton County, WY	Zion National Park, Washington County, UT	981974	32315
Indian Island, Eureka, CA	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	4737359	156004
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Congress Street, Portland, ME	4549620	146273
Lake Tahoe State Park, Nevada 28, Incline Village, NV	Boulder Mountain Park, Boulder, CO	1724097	56003
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Red Rocks Park, Central Avenue, South Burlington, VT	1011756	38709
10 Witherell Street, Detroit, MI	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	1120653	37238
Big Bend National Park, TX	Lake Tahoe State Park, Nevada 28, Incline Village, NV	2421131	83010
Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	Lake Tahoe State Park, Nevada 28, Incline Village, NV	793692	29084
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Zion National Park, Washington County, UT	379899	14392
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	2219495	74004
Atalaya Mountain, Santa Fe, NM	Yosemite National Park, CA	1567758	51886
10 Witherell Street, Detroit, MI	Discovery Park, Discovery Park Boulevard, Seattle, WA	3789619	122103
Cherry Creek State Park, South Parker Road, Aurora, CO	Boulder Mountain Park, Boulder, CO	64160	2840
Big Bend National Park, TX	Millennium Park Path, Grand Rapids, MI	2566668	84907
Cheatham Wildlife Management Area, Ashland City, TN	Cherokee Park, Cochran Hill Road, Louisville, KY	317631	11345
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Indian Island, Eureka, CA	955667	34737
Atalaya Mountain, Santa Fe, NM	University of North Carolina at Chapel Hill, Chapel Hill, NC	2772944	90430
2131 West Cortez Street, Chicago, IL	N Dean St & E Texas St, Marfa, TX 79843	2251700	72998
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Cherokee Park, Cochran Hill Road, Louisville, KY	790117	25735
Zion National Park, Washington County, UT	Burnside Bridge, Portland, OR	1722849	55882
Atalaya Mountain, Santa Fe, NM	Discovery Park, Discovery Park Boulevard, Seattle, WA	2367637	81079
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Golden Gate Park, San Francisco, CA	920085	31540
Lake Superior Brewing Co, West Superior Street, Duluth, MN	2131 West Cortez Street, Chicago, IL	748921	25722
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Catskill Mountains, Shandaken, NY	495457	18594
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Cherokee Park, Cochran Hill Road, Louisville, KY	987835	33016
Indian Island, Eureka, CA	Big Sur, Monterey County, CA	668681	25769
2131 West Cortez Street, Chicago, IL	Yosemite National Park, CA	3134806	103389
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Big Bend National Park, TX	2328972	76656
10 Witherell Street, Detroit, MI	Grand Canyon National Park, AZ	3091725	100852
The Queen Mary, Queens Highway, Long Beach, CA	10 Witherell Street, Detroit, MI	3692936	117589
Discovery Park, Discovery Park Boulevard, Seattle, WA	N Dean St & E Texas St, Marfa, TX 79843	3060545	101879
Big Sur, Monterey County, CA	University of California, Santa Cruz, High Street, Santa Cruz, CA	115869	5294
De las Flores, San Quintin, Mexico	Bonneville Salt Flats, Tooele County, UT	1436501	53178
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	2058027	65540
Cheatham Wildlife Management Area, Ashland City, TN	Boulder Mountain Park, Boulder, CO	1881271	60716
Mount Whitney, Inyo County, CA	University of North Carolina at Chapel Hill, Chapel Hill, NC	4130556	133370
Millennium Park Path, Grand Rapids, MI	N Dean St & E Texas St, Marfa, TX 79843	2484918	79699
Discovery Park, Discovery Park Boulevard, Seattle, WA	Yosemite National Park, CA	1443460	51247
Big Bend National Park, TX	Zion National Park, Washington County, UT	1721511	60644
Big Sur, Monterey County, CA	Red Rocks Park, Central Avenue, South Burlington, VT	5060394	167732
Zion National Park, Washington County, UT	University of North Carolina at Chapel Hill, Chapel Hill, NC	3580280	117936
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Apache Cafe, 3rd Street Northwest, Atlanta, GA	822066	28017
Powell Slough Waterfowl Management Area, Orem, UT	Discovery Park, Discovery Park Boulevard, Seattle, WA	1424208	46972
Indian Island, Eureka, CA	Apache Cafe, 3rd Street Northwest, Atlanta, GA	4407147	143383
10 Witherell Street, Detroit, MI	Powell Slough Waterfowl Management Area, Orem, UT	2707230	87149
Trancas Crossing Park, Trancas Street, Napa, CA	Golden Gate Park, San Francisco, CA	86401	4302
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Congress Street, Portland, ME	441766	18332
Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	Cherokee Park, Cochran Hill Road, Louisville, KY	3176587	102218
Millennium Park Path, Grand Rapids, MI	Bonneville Salt Flats, Tooele County, UT	2697848	85882
Cheatham Wildlife Management Area, Ashland City, TN	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	1416273	46458
113 Mill Creek Road, South Chatham, MA	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1827039	62594
Grand Teton National Park, Teton County, WY	Beacon Hill Park, Victoria, BC, Canada	1597296	62967
Trancas Crossing Park, Trancas Street, Napa, CA	University of North Carolina at Chapel Hill, Chapel Hill, NC	4548782	147067
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	3879206	122661
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Zion National Park, Washington County, UT	2678239	86219
2131 West Cortez Street, Chicago, IL	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	2655814	84906
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	University of California, Santa Cruz, High Street, Santa Cruz, CA	2707747	86459
Discovery Park, Discovery Park Boulevard, Seattle, WA	Boulder Mountain Park, Boulder, CO	2129975	70083
Big Bend National Park, TX	University of North Carolina at Chapel Hill, Chapel Hill, NC	2784923	91743
Atalaya Mountain, Santa Fe, NM	Burnside Bridge, Portland, OR	2236442	76574
Grand Teton National Park, Teton County, WY	Catskill Mountains, Shandaken, NY	3460410	115225
2131 West Cortez Street, Chicago, IL	10 Witherell Street, Detroit, MI	457156	15638
Indian Island, Eureka, CA	Burnside Bridge, Portland, OR	660704	25523
Indian Island, Eureka, CA	Catskill Mountains, Shandaken, NY	4902198	162785
2131 West Cortez Street, Chicago, IL	Cherokee Marsh State Fishery Area, Madison, WI	240183	9267
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Bonneville Salt Flats, Tooele County, UT	2193899	71823
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1589565	52108
Powell Slough Waterfowl Management Area, Orem, UT	Catskill Mountains, Shandaken, NY	3550420	116700
Bonneville Salt Flats, Tooele County, UT	Boulder Mountain Park, Boulder, CO	1031153	33761
Cheatham Wildlife Management Area, Ashland City, TN	Grand Canyon National Park, AZ	2566652	82697
Atalaya Mountain, Santa Fe, NM	Beacon Hill Park, Victoria, BC, Canada	2644311	96754
10 Witherell Street, Detroit, MI	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1159630	38423
University of North Carolina at Chapel Hill, Chapel Hill, NC	Boulder Mountain Park, Boulder, CO	2675935	86495
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	University of California, Santa Cruz, High Street, Santa Cruz, CA	3277609	107215
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Bonneville Salt Flats, Tooele County, UT	2399525	79606
Powell Slough Waterfowl Management Area, Orem, UT	Atalaya Mountain, Santa Fe, NM	947079	34567
Powell Slough Waterfowl Management Area, Orem, UT	Indian Island, Eureka, CA	1446156	50526
Indian Island, Eureka, CA	Discovery Park, Discovery Park Boulevard, Seattle, WA	947763	35916
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Golden Gate Park, San Francisco, CA	528907	18851
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Zion National Park, Washington County, UT	3548092	114854
Burnside Bridge, Portland, OR	Catskill Mountains, Shandaken, NY	4688082	154385
Catskill Mountains, Shandaken, NY	Cherokee Park, Cochran Hill Road, Louisville, KY	1256362	44425
Atalaya Mountain, Santa Fe, NM	Big Bend National Park, TX	884881	33604
Mount Whitney, Inyo County, CA	4919 Cave Run Drive, Houston, TX	2724794	86558
Cherry Creek State Park, South Parker Road, Aurora, CO	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	2668666	86893
Trancas Crossing Park, Trancas Street, Napa, CA	The Queen Mary, Queens Highway, Long Beach, CA	690944	23756
The Queen Mary, Queens Highway, Long Beach, CA	University of North Carolina at Chapel Hill, Chapel Hill, NC	4069006	130836
Mount Whitney, Inyo County, CA	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	849830	28269
